tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
0,90,35,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
28093913,180,3,Open Tender,National Health Mission,2016-2017,
20000000,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
500000,90,1,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,180,1,Open Tender,Industries and Commerce Department,2016-2017,
20000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
3000000,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
10000000,365,8,Open Tender,Health and Family Welfare Department,2016-2017,
1200000,365,1,Open Tender,Health and Family Welfare Department,2016-2017,
6500000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
19783055,180,1,Open Tender,National Health Mission,2016-2017,
0,180,5,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
11200000,90,9,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
497286,180,1,Open Tender,Department of Water Resources,2016-2017,
5503407,180,3,Open Tender,Department of Water Resources,2016-2017,
31061178,225,3,Open Tender,Department of Tourism,2016-2017,
22794662,180,7,Open Tender,Public Works Building and NH Department,2016-2017,
74532333,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
5035702,60,10,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
8626530,60,4,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
6814174,60,8,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7532916,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
2206100000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
0,90,0,Open Tender,Elementary Education Department,2016-2017,
10830553,180,2,Open Tender,National Health Mission,2016-2017,
5999950,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
12510148,180,7,Open Tender,Department of Water Resources,2016-2017,
19800000,180,4,Open Tender,Department of Water Resources,2016-2017,
20500000,180,7,Open Tender,Department of Water Resources,2016-2017,
27696000,180,7,Open Tender,Department of Water Resources,2016-2017,
23304523,180,8,Open Tender,Department of Water Resources,2016-2017,
20263601,180,7,Open Tender,Department of Water Resources,2016-2017,
25349923,180,7,Open Tender,Department of Water Resources,2016-2017,
0,90,3,Open Tender,Assam Police,2016-2017,
9000000,180,7,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
31775000,360,4,Open Tender,Department of Science and Technology,2016-2017,
1297400000,180,7,Open Tender,Public Works Building and NH Department,2016-2017,
25996244,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
5000000,180,3,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
16151742,180,3,Open Tender,Department of Water Resources,2016-2017,
18424575,180,7,Open Tender,Department of Water Resources,2016-2017,
29508285,180,9,Open Tender,Department of Water Resources,2016-2017,
29818895,180,8,Open Tender,Department of Water Resources,2016-2017,
17817979,180,12,Open Tender,Department of Water Resources,2016-2017,
7967277,180,5,Open Tender,Department of Water Resources,2016-2017,
8245584,180,5,Open Tender,Department of Water Resources,2016-2017,
9684144,180,10,Open Tender,Department of Water Resources,2016-2017,
3999000,90,7,Open Tender,Industries and Commerce Department,2016-2017,
4653609,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6930677,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9789245,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7426137,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
50000000,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
44858302,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4528848,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7920572,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
23760000,365,9,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
100800000,365,10,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
8000,365,0,Open Tender,Health and Family Welfare Department,2016-2017,
2160000,90,1,Open Tender,Directorate of Sports and Youth Welfare - Assam,2016-2017,
29300000,180,3,Global Tenders,Public Works Building and NH Department,2016-2017,
29300000,180,2,Global Tenders,Public Works Building and NH Department,2016-2017,
1268900000,180,7,Open Tender,Public Works Building and NH Department,2016-2017,
10000000,90,8,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
40000000,90,10,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
20000000,90,8,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
10000000,90,13,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
10000000,365,7,Open Tender,Health and Family Welfare Department,2016-2017,
17500000,180,1,Open Tender,Industries and Commerce Department,2016-2017,
20000000,180,2,Open Tender,Industries and Commerce Department,2016-2017,
24000000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
7467058,180,8,Open Tender,Department of Tourism,2016-2017,
13150000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
800000,90,1,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
126000000,365,6,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
33000000,365,14,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
10523000,365,3,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
4596857,90,3,Open Tender,Industries and Commerce Department,2016-2017,
7000000,120,7,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
8038173,180,13,Open Tender,Department of Water Resources,2016-2017,
578026,180,5,Open Tender,Department of Water Resources,2016-2017,
0,180,0,Open Tender,Assam Police,2016-2017,
385090,180,5,Open Tender,Department of Water Resources,2016-2017,
39889883,180,8,Open Tender,Department of Water Resources,2016-2017,
1127781,180,11,Open Tender,Department of Water Resources,2016-2017,
1519690,180,11,Open Tender,Department of Water Resources,2016-2017,
21277243,180,11,Open Tender,Department of Water Resources,2016-2017,
